date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:41	303/303	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Oct%202019%2008:34:40%20GMT	https://lomebi.unicornplatform.com/robots.txt		(from )
10:34:41	6051/6051	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Oct%202019%2008:34:40%20GMT	https://lomebi.unicornplatform.com/	lomebi.unicornplatform.com/index.html	(from )
10:34:41	346350/346350	---M-Z	200	added ('OK')	text/css	etag:%225d95bdf2-548ee%22	https://lomebi.unicornplatform.com/static/templates_css/main.e8bd49841373.css	lomebi.unicornplatform.com/static/templates_css/main.e8bd49841373.css	(from https://lomebi.unicornplatform.com/)
10:34:42	198588/198588	---M-Z	200	added ('OK')	application/javascript	etag:%225d95bdf2-307bc%22	https://lomebi.unicornplatform.com/static/templates_js/main.76d0d4e37b08.js	lomebi.unicornplatform.com/static/templates_js/main.76d0d4e37b08.js	(from https://lomebi.unicornplatform.com/)
10:34:43	1181/1181	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-49d%22	https://lomebi.unicornplatform.com/static/img/logos/unicorn-platform-logo.svg	lomebi.unicornplatform.com/static/img/logos/unicorn-platform-logo.svg	(from https://lomebi.unicornplatform.com/)
10:34:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Oct%202019%2008:34:44%20GMT	https://lomebi.unicornplatform.com/about-us	lomebi.unicornplatform.com/about-us	(from https://lomebi.unicornplatform.com/)
10:34:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Oct%202019%2008:34:45%20GMT	https://lomebi.unicornplatform.com/contact-us	lomebi.unicornplatform.com/contact-us	(from https://lomebi.unicornplatform.com/)
10:34:46	8061/8061	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Oct%202019%2008:34:45%20GMT	https://lomebi.unicornplatform.com/about-us/	lomebi.unicornplatform.com/about-us/index.html	(from https://lomebi.unicornplatform.com/)
10:34:46	305/305	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Oct%202019%2008:34:46%20GMT	https://lomebi.unicornplatform.com/contact-us/	lomebi.unicornplatform.com/contact-us/index.html	(from https://lomebi.unicornplatform.com/)
10:34:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Oct%202019%2008:34:46%20GMT	https://lomebi.unicornplatform.com/sign-up	lomebi.unicornplatform.com/sign-up.5.delayed	(from https://lomebi.unicornplatform.com/)
10:34:47	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Oct%202019%2008:34:47%20GMT	https://lomebi.unicornplatform.com/product	lomebi.unicornplatform.com/product	(from https://lomebi.unicornplatform.com/)
10:34:48	526/526	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-20e%22	https://lomebi.unicornplatform.com/static/img/icons/social/white/twitter.svg	lomebi.unicornplatform.com/static/img/icons/social/white/twitter.svg	(from https://lomebi.unicornplatform.com/)
10:34:49	305/305	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Oct%202019%2008:34:49%20GMT	https://lomebi.unicornplatform.com/product/	lomebi.unicornplatform.com/product/index.html	(from https://lomebi.unicornplatform.com/)
10:34:49	305/305	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Oct%202019%2008:34:49%20GMT	https://lomebi.unicornplatform.com/sign-up/	lomebi.unicornplatform.com/sign-up/index.html	(from https://lomebi.unicornplatform.com/)
10:34:49	463/463	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-1cf%22	https://lomebi.unicornplatform.com/static/img/icons/social/white/linkedin.svg	lomebi.unicornplatform.com/static/img/icons/social/white/linkedin.svg	(from https://lomebi.unicornplatform.com/)
10:34:50	912/912	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-390%22	https://lomebi.unicornplatform.com/static/img/other/white-waves.8fbe13fbd386.svg	lomebi.unicornplatform.com/static/img/other/white-waves.8fbe13fbd386.svg	(from https://lomebi.unicornplatform.com/static/templates_css/main.e8bd49841373.css)
10:34:51	717/717	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-2cd%22	https://lomebi.unicornplatform.com/static/img/icons/view--white.3698874f7421.svg	lomebi.unicornplatform.com/static/img/icons/view--white.3698874f7421.svg	(from https://lomebi.unicornplatform.com/static/templates_css/main.e8bd49841373.css)
10:34:52	264/264	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-108%22	https://lomebi.unicornplatform.com/static/img/other/cloud_arrow.e1e77f60cc40.svg	lomebi.unicornplatform.com/static/img/other/cloud_arrow.e1e77f60cc40.svg	(from https://lomebi.unicornplatform.com/static/templates_css/main.e8bd49841373.css)
10:34:53	547/547	---M--	200	added ('OK')	image/png	etag:%225d95bdf2-223%22	https://lomebi.unicornplatform.com/static/img/other/plugin/default-skin.e3f799c6dec9.png	lomebi.unicornplatform.com/static/img/other/plugin/default-skin.e3f799c6dec9.png	(from https://lomebi.unicornplatform.com/static/templates_css/main.e8bd49841373.css)
10:34:54	1235/1235	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-4d3%22	https://lomebi.unicornplatform.com/static/img/other/plugin/default-skin.8f650f669dab.svg	lomebi.unicornplatform.com/static/img/other/plugin/default-skin.8f650f669dab.svg	(from https://lomebi.unicornplatform.com/static/templates_css/main.e8bd49841373.css)
10:34:55	2027/2027	---M-Z	200	added ('OK')	image/svg+xml	etag:%225d95bdf2-7eb%22	https://lomebi.unicornplatform.com/static/img/twemoji/1f64c.svg	lomebi.unicornplatform.com/static/img/twemoji/1f64c.svg	(from https://lomebi.unicornplatform.com/about-us/)
